Entity,Code,Year,Budget
United States,USA,1959,2320435288
United States,USA,1960,3622571944
United States,USA,1961,6577309549.
United States,USA,1962,12326662764
United States,USA,1963,24521545950
United States,USA,1964,33619086227
United States,USA,1965,34020007663
United States,USA,1966,32831229324
United States,USA,1967,30586032658
United States,USA,1968,27302171188
United States,USA,1969,22709367979
United States,USA,1970,20231900967
United States,USA,1971,17019923719
United States,USA,1972,16226362318
United States,USA,1973,16016951127
United States,USA,1974,13330551485
United States,USA,1975,12847750181
United States,USA,1976,13212041458
United States,USA,1977,13445146345
United States,USA,1978,13793091635
United States,USA,1979,14263654474
United States,USA,1980,14799479046
United States,USA,1981,14189559983
United States,USA,1982,14600486118
United States,USA,1983,15941188446
United States,USA,1984,16246933098
United States,USA,1985,15964110571
United States,USA,1986,16097974201
United States,USA,1987,22028358815
United States,USA,1988,17701904047
United States,USA,1989,20413492052
United States,USA,1990,22135699407
United States,USA,1991,24509582073
United States,USA,1992,24426630775
United States,USA,1993,23854358737
United States,USA,1994,23769057845
United States,USA,1995,22130495147
United States,USA,1996,21772696302
United States,USA,1997,21121755951
United States,USA,1998,20768617024
United States,USA,1999,20514049723
United States,USA,2000,20023113217
United States,USA,2001,20499398661
United States,USA,2002,21080477824
United States,USA,2003,21395081125
United States,USA,2004,20877934978
United States,USA,2005,21338934268
United States,USA,2006,21265571315
United States,USA,2007,20236923370
United States,USA,2008,20958210045
United States,USA,2009,22609714037
United States,USA,2010,22346619718
United States,USA,2011,21584155389
United States,USA,2012,20404142692
United States,USA,2013,19033095047
United States,USA,2014,19520325699
United States,USA,2015,19682957069
United States,USA,2016,20883596274
United States,USA,2017,20903931442
United States,USA,2018,21598138373
United States,USA,2019,21937488898
United States,USA,2020,22629000000
United States,USA,2021,23271300000
United States,USA,2022,24801500000
