Entity;Year;Million Dollar Budget
Soviet Space Program;1959;1257
Soviet Space Program;1960;854
Soviet Space Program;1961;1214
Soviet Space Program;1962;2035
Soviet Space Program;1963;4070
Soviet Space Program;1964;1980
Soviet Space Program;1965;2940
Soviet Space Program;1966;4300
Soviet Space Program;1967;5170
Soviet Space Program;1968;5440
Soviet Space Program;1969;5180
Soviet Space Program;1970;5530
Soviet Space Program;1971;6000
Soviet Space Program;1972;6790
NASA;1959;2320
NASA;1960;3622
NASA;1961;6577
NASA;1962;12326
NASA;1963;24521
NASA;1964;33619
NASA;1965;34020
NASA;1966;32831
NASA;1967;30586
NASA;1968;27302
NASA;1969;22709
NASA;1970;20231
NASA;1971;17019
NASA;1972;16226
NASA;1973;16016
NASA;1974;13330
NASA;1975;12847
NASA;1976;13212
NASA;1977;13445
NASA;1978;13793
NASA;1979;14263
NASA;1980;14799
NASA;1981;14189
NASA;1982;14600
NASA;1983;15941
NASA;1984;16246
NASA;1985;15964
NASA;1986;16097
NASA;1987;22028
NASA;1988;17701
NASA;1989;20413
NASA;1990;22135
NASA;1991;24509
NASA;1992;24426
NASA;1993;23854
NASA;1994;23769
NASA;1995;22130
NASA;1996;21772
NASA;1997;21121
NASA;1998;20768
NASA;1999;20514
NASA;2000;20023
NASA;2001;20499
NASA;2002;21080
NASA;2003;21395
NASA;2004;20877
NASA;2005;21338
NASA;2006;21265
NASA;2007;20236
NASA;2008;20958
NASA;2009;22609
NASA;2010;22346
NASA;2011;21584
NASA;2012;20404
NASA;2013;19033
NASA;2014;19520
NASA;2015;19682
NASA;2016;20883
NASA;2017;20903
NASA;2018;21598
NASA;2019;21937
NASA;2020;22629
NASA;2021;23271
NASA;2022;24801
