Country;Year;GDP
Former USSR;1950;69800000000
Former USSR;1955;93500000000
Former USSR;1956;103280000000
Former USSR;1957;113060000000
Former USSR;1958;122840000000
Former USSR;1959;132620000000
Former USSR;1960;142400000000
Former USSR;1961;169400000000
Former USSR;1962;196400000000
Former USSR;1963;223400000000
Former USSR;1964;250400000000
Former USSR;1965;277400000000
Former USSR;1966;308602492233
Former USSR;1967;339804984467
Former USSR;1968;371007476701
Former USSR;1969;402209968935
Former USSR;1970;433412461169
Former USSR;1971;455576460934
Former USSR;1972;515797471199
Former USSR;1973;617777387023
Former USSR;1974;616593066088
Former USSR;1975;685971572350
Former USSR;1976;688530165753
Former USSR;1977;738416534350
Former USSR;1978;840138635670
Former USSR;1979;901615848297
Former USSR;1980;940037885448
Former USSR;1981;906864339722
Former USSR;1982;959947826212
Former USSR;1983;993047901290
Former USSR;1984;938264302956
Former USSR;1985;914117647059
Former USSR;1986;851245337135
Former USSR;1987;800486091228
Former USSR;1988;783794054229
Former USSR;1989;782060114452
Former USSR;1990;790782871749
Former USSR;1991;0
Former USSR;1992;0
Former USSR;1993;0
Former USSR;1994;0
Former USSR;1995;0
Former USSR;1996;0
Former USSR;1997;0
Former USSR;1998;0
Former USSR;1999;0
Former USSR;2000;0
Former USSR;2001;0
Former USSR;2002;0
Former USSR;2003;0
Former USSR;2004;0
Former USSR;2005;0
Former USSR;2006;0
Former USSR;2007;0
Former USSR;2008;0
Former USSR;2009;0
Former USSR;2010;0
Former USSR;2011;0
Former USSR;2012;0
Former USSR;2013;0
Former USSR;2014;0
Former USSR;2015;0
Former USSR;2016;0
Former USSR;2017;0
Former USSR;2018;0
Former USSR;2019;0
Former USSR;2020;0
Former USSR;2021;0
Russian Federation;1970;0
Russian Federation;1971;0
Russian Federation;1972;0
Russian Federation;1973;0
Russian Federation;1974;0
Russian Federation;1975;0
Russian Federation;1976;0
Russian Federation;1977;0
Russian Federation;1978;0
Russian Federation;1979;0
Russian Federation;1980;0
Russian Federation;1981;0
Russian Federation;1982;0
Russian Federation;1983;0
Russian Federation;1984;0
Russian Federation;1985;0
Russian Federation;1986;0
Russian Federation;1987;0
Russian Federation;1988;0
Russian Federation;1989;0
Russian Federation;1990;574061669927
Russian Federation;1991;563802074354
Russian Federation;1992;493035279655
Russian Federation;1993;460811084319
Russian Federation;1994;410878641469
Russian Federation;1995;402295086164
Russian Federation;1996;394881380308
Russian Federation;1997;407823983411
Russian Federation;1998;272882470977
Russian Federation;1999;197302878291
Russian Federation;2000;261567146207
Russian Federation;2001;308800832608
Russian Federation;2002;347948360288
Russian Federation;2003;434560366632
Russian Federation;2004;596725032999
Russian Federation;2005;771495423302
Russian Federation;2006;999623133622
Russian Federation;2007;1312427085943
Russian Federation;2008;1677107161246
Russian Federation;2009;1234615149496
Russian Federation;2010;1539845082081
Russian Federation;2011;2045922756056
Russian Federation;2012;2208295137908
Russian Federation;2013;2292470139653
Russian Federation;2014;2059241613949
Russian Federation;2015;1363482200819
Russian Federation;2016;1276786364253
Russian Federation;2017;1574199379405
Russian Federation;2018;1657328790242
Russian Federation;2019;1693115020139
Russian Federation;2020;1489361877587
Russian Federation;2021;1778781592987
United States;1950;299827250000
United States;1951;346913250000
United States;1952;367340750000
United States;1953;389217500000
United States;1954;390549000000
United States;1955;425479500000
United States;1956;449352500000
United States;1957;474039500000
United States;1958;481228500000
United States;1959;521654250000
United States;1960;542382250000
United States;1961;562209750000
United States;1962;603921500000
United States;1963;637451500000
United States;1964;684461500000
United States;1965;742290250000
United States;1966;813413750000
United States;1967;859956250000
United States;1968;940646500000
United States;1969;1017615000000
United States;1970;1073303000000
United States;1971;1164850000000
United States;1972;1279110000000
United States;1973;1425376000000
United States;1974;1545243000000
United States;1975;1684904000000
United States;1976;1873412000000
United States;1977;2081826000000
United States;1978;2351599000000
United States;1979;2627333000000
United States;1980;2857307000000
United States;1981;3207041000000
United States;1982;3343789000000
United States;1983;3634038000000
United States;1984;4037613000000
United States;1985;4338979000000
United States;1986;4579631000000
United States;1987;4855215000000
United States;1988;5236438000000
United States;1989;5641580000000
United States;1990;5963144000000
United States;1991;6158129000000
United States;1992;6520327000000
United States;1993;6858559000000
United States;1994;7287236000000
United States;1995;7639749000000
United States;1996;8073122000000
United States;1997;8577552000000
United States;1998;9062817000000
United States;1999;9631172000000
United States;2000;10250952000000
United States;2001;10581929000000
United States;2002;10929108000000
United States;2003;11456450000000
United States;2004;12217196000000
United States;2005;13039197000000
United States;2006;13815583000000
United States;2007;14474228000000
United States;2008;14769862000000
United States;2009;14478067000000
United States;2010;15048970000000
United States;2011;15599731000000
United States;2012;16253970000000
United States;2013;16843196000000
United States;2014;17550687000000
United States;2015;18206023000000
United States;2016;18695106000000
United States;2017;19477337000000
United States;2018;20533058000000
United States;2019;21380976000000
United States;2020;21060474000000
United States;2021;23315081000000
